id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,20s_peak,20s_peak_wpk,60s_peak,60s_peak_wpk,180s_peak,180s_peak_wpk,240s_peak,240s_peak_wpk,420s_peak,420s_peak_wpk,720s_peak,720s_peak_wpk,weightkg, weightstd
18dbdca0-34f6-4ec8-bcf2-53eb081fee1a,35,M,611,604,4,0,3,1611.0,1198.26667,531.175,461.96111,422.57,383.00833,378.88333,343.60417,314.2,8.46596,5.32347,4.77311,4.32867,3.95824,1149,14.474923109057272,672,8.465751374487803,462,5.820204069960365,421,5.30369245336215,387,4.875365746914851,358,4.510028262003919,79.37865999999998,1.422249818681135e-14
60ec9b36-d194-47c3-b022-2634eccb582e,51,M,1856,1314,0,0,542,1398.0,965.33333,442.45,407.61111,373.44,341.57917,334.84167,319.49583,306.37611,7.38704,5.07893,4.5841,4.36681,4.15657,918,12.162516660527997,556,7.384160974709248,408,5.418592945470096,379,5.154548038619669,356,4.841739054745653,331,4.549440460057012,74.49257628133704,2.067840224101553
e39d57e4-609d-4165-8a9d-67d42a955f64,38,M,671,118,503,5,45,882.0,695.7,448.225,385.27222,362.03667,356.6625,318.17333,288.80667,274.005,8.66344,5.8393,5.13183,4.65817,4.48968,593,9.564516129032258,537,8.661290322580646,385,6.209677419354839,385,6.209677419354839,361,5.82258064516129,310,5.0,61.871099850968704,0.4823925791952694
5381e242-2dfa-4a06-a33d-589394cd56a8,45,M,393,183,1,0,209,1073.0,801.73333,623.10833,433.58889,286.84667,222.76042,202.705,188.31667,176.45444,9.65723,4.27491,3.05182,2.94245,2.7571,703,10.984375,648,9.657228017883757,434,6.46795827123696,347,5.171385991058123,236,3.5171385991058126,192,2.953125,65.96106870229008,1.4586777202989443
3ec5432e-fe8c-41d1-a3ca-0c99351910a9,38,M,1198,57,0,0,1141,1299.0,1071.46667,536.01667,459.27778,406.28,380.325,378.055,367.36917,333.96944,9.32237,5.56548,5.17884,5.03245,4.57492,1011,13.849315068493151,681,9.32876712328767,459,6.287671232876712,436,5.972602739726027,390,5.342465753424658,374,5.123287671232877,73.00751252086812,0.0863846738326428
7111053a-c14c-4dcc-8537-313a3405706e,18,M,519,498,0,0,21,1153.0,934.0,474.65,431.72222,396.75,372.44375,363.19167,323.53917,314.18611,9.20648,5.51042,5.04433,4.4936,4.3637,902,12.527777777777779,663,9.208333333333334,432,6.0,410,5.694444444444445,383,5.319444444444445,343,4.763888888888889,72.14797687861272,0.9130704444510325
2d0db6bd-edc4-4260-9e83-40a2289d827a,-42,M,1773,1773,0,0,0,1839.0,755.4,422.05833,406.83889,372.56333,340.03125,332.72,322.93583,307.39889,6.07321,4.71599,4.21165,4.0878,3.89113,699,8.848101265822784,480,6.075949367088608,407,5.151898734177215,375,4.746835443037975,342,4.329113924050633,328,4.151898734177215,78.97113367174282,0.9153579957254346
b327a936-34c7-4fe4-9cfc-92a34005ea47,40,M,784,567,77,1,139,1000.0,852.33973,370.11667,332.66111,308.16907,291.93113,280.92207,275.27411,271.76225,6.36012,4.16786,3.7866,3.49777,3.45314,736,9.47513812154696,500,6.353240152477763,333,4.567901234567901,327,4.48559670781893,290,3.964088397790055,282,3.591160220994475,75.87755102040816,4.141409255699298
f75605df-087d-4326-88be-73fc319b7706,44,M,1201,855,70,45,231,1262.0,1007.13333,554.425,489.66111,434.98667,404.84583,392.65167,338.215,325.09056,9.33425,5.99155,5.54514,4.79542,4.63092,959,13.258675515000691,676,9.337016574585634,490,6.764218663721701,445,6.170421155729677,412,5.733653438779833,365,5.17877412031782,71.80829225645296,1.6113986286292792
3408078b-7180-4901-af4c-bab0c567708a,50,M,118,118,0,0,0,1614.0,731.6,332.3,305.56111,290.82,270.22292,265.415,253.28833,244.97444,5.38311,3.98384,3.63582,3.4697,3.35581,640,8.767123287671232,393,5.383561643835616,306,4.191780821917808,300,4.109589041095891,277,3.7945205479452055,262,3.589041095890411,73.0,0.0
771b83e6-3278-4d79-bdaa-7c66ba5d30d8,42,M,827,806,0,0,21,2554.0,753.33333,405.25833,370.9,338.67667,321.74583,312.81917,295.07667,277.07944,6.95,4.70384,4.34471,4.09829,3.84833,730,10.13888888888889,500,6.944444444444445,371,5.152777777777778,348,4.833333333333333,327,4.541666666666667,309,4.291666666666667,72.0,0.0
3497ec54-17ce-472a-9d73-1bb7d7d3a603,18,M,502,128,291,0,83,781.0,583.33333,406.28333,407.24444,390.37333,326.53542,324.47,300.27083,292.27389,6.91642,5.82647,4.84284,4.48165,4.3623,570,8.507462686567164,463,6.91044776119403,407,6.074626865671642,389,5.8059701492537314,328,4.895522388059701,322,4.8059701492537314,67.0,0.0
1cfdf6b8-568b-4b01-a283-1e1dc1ba7e65,-55,M,347,0,0,0,347,479.0,467.2,345.35,343.23889,331.79333,325.44583,325.39833,319.68,303.99,4.48271,4.14742,4.06748,3.996,3.79988,463,5.7875,359,4.4875,343,4.2875,337,4.2125,327,4.0875,325,4.0625,80.0,0.0
2cd9fe7c-def3-4351-8241-3b16ee273b98,-66,M,339,300,8,0,31,1669.72357,871.07513,491.26575,483.9341,387.10399,344.3382,320.00801,299.33173,294.52768,7.75752,4.90005,4.05073,3.78901,3.7282,745,9.430379746835444,613,7.7594936708860756,484,6.1265822784810124,443,5.6075949367088604,358,4.531645569620253,310,3.9240506329113924,79.00294985250737,0.054312544659356844
3699a122-ebb4-4fe4-a850-301ad9bc0996,40,M,19,16,0,0,3,896.0,633.66667,322.5,292.47778,274.82667,264.66875,261.315,256.66333,255.08722,4.79145,3.52342,3.35019,3.29056,3.27035,583,7.4743589743589745,374,4.794871794871795,292,3.7435897435897436,282,3.6153846153846154,274,3.5128205128205128,259,3.3205128205128207,78.0,0.0
6287af49-fa0d-40ce-a38f-e02831899a52,41,M,134,1,0,0,133,1000.0,607.26667,324.98333,274.62222,266.76667,250.35,243.6,233.205,223.84889,6.79426,4.37322,3.99344,3.85158,3.66965,555,9.098360655737705,414,6.786885245901639,275,4.508196721311475,263,4.311475409836065,253,4.147540983606557,237,3.8852459016393444,60.93283582089552,0.2512453551444323
c5932341-08a9-494b-94ef-8e18d39f62a7,45,M,475,471,1,0,3,2257.0,1168.26667,457.56667,407.37778,381.94667,356.12083,354.64667,324.15667,299.31,7.28321,4.43916,4.24727,3.76107,3.5187,1109,12.895348837209303,635,7.282608695652174,411,4.963768115942029,388,4.64975845410628,364,4.359281437125748,344,4.130434782608696,87.08652631578948,3.4944663212122395
